"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID"
"12083",12083,"MATH&142","B014","3.6",3.6,"B232","",2.88,16,16,91,NA,"46",NA,"",NA,1823
"12084",12084,"MATH&151","B122","1.1",1.1,"B232","",2.17,15,15,91,NA,"46",NA,"",NA,1823
"12085",12085,"MATH&151","B232","1.6",1.6,"B232","",2.29,12,7,91,NA,"46",NA,"",NA,1823
"12086",12086,"MATH062","B014","3.1",3.1,"B342","",3.1,5,5,75,26,"17",NA,"",NA,1059
"12087",12087,"MATH072","B012","3.8",3.8,"B012","",3.1,10,10,87,NA,"41",NA,"",NA,6777
"12088",12088,"MATH097","B011","N",NA,"B343","",0,5,0,NA,NA,"",NA,"",NA,7715
"12089",12089,"MATH070","B012","W",NA,"B012","11/4/2010",0.4,15,0,77,52,"17",NA,"",NA,3511
"12090",12090,"MATH072","B013","3.2",3.2,"B343","",3.25,10,10,91,NA,"32",NA,"",NA,8573
"12091",12091,"MATH097","B014","3",3,"B343","",3.4,10,10,91,NA,"32",NA,"",NA,8573
"12092",12092,"MATH&141","B012","4",4,"B124","",4,5,5,NA,NA,"",NA,"",NA,596
"12093",12093,"MATH&142","B121","4",4,"B124","",4,5,5,NA,NA,"",NA,"",NA,596
"12094",12094,"MATH&151","B122","4",4,"B124","",4,5,5,NA,NA,"",NA,"",NA,596
"12095",12095,"MATH062","B012","1.8",1.8,"B121","",2.73,15,15,93,53,"25",NA,"",NA,9239
